"","Date","title"
"4089"," 3/09","Re: [問題] 抒情嘻哈"
"4090"," 3/10","[轉錄][轉錄][活動] 春吶以死"
"4091"," 3/10","Re: [新聞] Notorious B.I.G. Film Finds Its Star"
"4092"," 3/10","Re: [推薦] MegaMan 洛克人饒舌"
"4093"," 3/10","[推薦] 找歌名的軟體"
"4094"," 3/11","[問題] 問影片裡的歌手及歌名"
"4095"," 3/11","[活動] 買墾丁春吶門票，送免費來回接送喔！"
"4096"," 3/12","[活動] 三月份高雄舞道館活動預告!"
"4097"," 3/12","Re: [推薦] Snoop Dogg - Neva Have 2 Worry"
"4098"," 3/12","Re: [問題] jazz hiphop"
"4099"," 3/12","[討論] 理想中的唱片行"
"4100"," 3/14","[代PO] 急需~!!!誠徵: 台中的大同迷們!!!! 4/5 …"
"4101"," 3/14","[活動] 真的不來會   超悶"
"4102"," 3/14","new releases"
"4103"," 3/14","[推薦] 電梯..."
"4104"," 3/14","[問題] 聚有牛仔風味的歌"
"4105"," 3/14","Lower Life Form Kills SXSW "
"4106"," 3/15","[討論] 我真的笨到有剩了..."
"4107"," 3/16","大家好，我們是Maiz"
"4108"," 3/16","[新聞] 遊戲玩家八天服完六十天刑期"
"4109"," 3/16","[知識] HUH...."
"4110"," 3/16","[本月] Teriyaki Boyz- ZOCK ON! feat. Pharrell and Busta Rhymes"
"4111"," 3/17","Re: [轉錄][閒聊] 日本屌JAZZY RAP團"
"4112"," 3/17","[問題] 有關於黑幫感覺的歌"
"4113"," 3/17","[問題] 想問一首MV  ~~"
"4114"," 3/17","[廣告]廣邀嘻哈同好蒞場賜教！(饒舌音樂分享)"
"4115"," 3/17","[推薦] MTV 日本嘻哈天皇ZEEBRA 獨家首播"
"4116"," 3/17","[新聞] 史奴比狗狗形象大變 唱鄉村歌演肥皂劇 "
"4117"," 3/17","[活動] SVC2008 停止惡性循環 墾丁音樂祭"
"4118"," 3/18","[推薦] 顏社音樂頻道 @ YouTube"
"4119"," 3/18","[問題] 請問台灣有人在玩talk box嗎"
"4120"," 3/19","[轉錄][錄取] Stanford Materials Science MS"
"4121"," 3/20","RhymeWave 三月份hiphop新到貨"
"4122"," 3/20","[自介] Paris!!"
"4123"," 3/20","[推薦] Madonna, Justin & Timbaland..."
"4124"," 3/21","[推薦] 大支新歌 又一發"
"4125"," 3/22","[活動] 3/28(五) DJ JAM 史奴比狗狗與德瑞博士御用DJ首度來台演出 @"
"4126"," 3/23","[討噓]Wing"
"4127"," 3/23","[推薦] 好人一枚"
"4128"," 3/23","[情報] 2008/03/27 DanceUnion Vol.43 ""Attent …"
"4129"," 3/23","[揪揪] 墾丁春吶共搭大巴來回"
"4130"," 3/24","＊＊第四屆中區大專院校聯合舞展─舞回來了＊＊"
"4131"," 3/25","[轉錄] 台灣究竟有哪些夜店能聽見好的音樂？"
"4132"," 3/25","[推薦] 他也是好人"
"4133"," 3/26","Re: [轉錄] 台灣究竟有哪些夜店能聽見好的音樂？"
"4134"," 3/26","Re: [問題] 有關於黑幫感覺的歌"
"4135"," 3/27","Re: [轉錄] 台灣究竟有哪些夜店能聽見好的音樂？"
"4136"," 3/27","[問題] 拜託大家提供~~想要超棒精選~~~"
"4137"," 3/27","<RhymeWave實體櫃位-師大夜市>"
"4138"," 3/28","[推薦] 他們覺得"
"4139"," 3/29","[推薦] MC Lieutenant - 迷了路的緣分(Feat. Gary)"
"4140"," 3/31","[問題] 可否推薦""兇""一點的HIP-HOP樂?"
"4141"," 3/31","[問題] DJ Muggs vs. GZA the Genius"
"4142"," 4/02","[推薦] Lil Wayne - Lollipop"
"4143"," 4/03","[售]DJ Shadow & Cut Chemist,Mitsu the Beats,Pete Rock,etc."
"4144"," 4/03","[情報] FAT JOE向台灣打招呼"
"4145"," 4/03","Re: [情報] FAT JOE向台灣打招呼"
"4146"," 4/04","[推薦] AP滿人 + 光光"
"4147"," 4/05","聲音很像熱狗...XD"
"4148"," 4/05","[問題] 節奏輕快的歌"
"4149"," 4/06","RhymeWave(4月初新到貨-第一波>"
"4150"," 4/06","[網宣]第二屆●中正盃○全國熱舞大賽!!! "
"4151"," 4/06","[問題] Boyz N Tha Hood &Menace 2 Society "
"4152"," 4/06","[自介] CrunK Ain't Dead"
"4153"," 4/08","[討論] 靈魂出蹺"
"4154"," 4/08","[活動] Good Vibe [email protected]師大夜市 ""古今中外""ꐠ…"
"4155"," 4/09","[活動] All Eyez On Mic In 浮現藝文展演空間"
"4156"," 4/09","[問題] 版主好 請問是否能在此徵求幫忙連署"
"4157"," 4/09"," Usher - Love In This Club  MV"
"4158"," 4/11","[推薦]有人喜歡TALKBOX的嗎?"
"4159"," 4/13","[推薦]Q-ill - Brokenwordz EP"
"4160"," 4/13","[問題] 牆壁塗鴉工具"
"4161"," 4/14","[情報] 2008.04.24 DanceUnion Vol.44 ""So Funky"""
"4162"," 4/15","[KUSO] Dino5"
"4163"," 4/15","台中 Hip-House Reunion Dance Party夏祭熱舞派對"
"4164"," 4/15","[問題] 融入古典音樂的嘻哈音樂"
"4165"," 4/15","[活動] 4/20 20:30 拷秋勤+表兒神秘趴踢in地社  "
"4166"," 4/15","Re: [問題] 融入古典音樂的嘻哈音樂"
"4167"," 4/15","Re: [問題] 融入古典音樂的嘻哈音樂"
"4168"," 4/16","古今中外-特賣@師大夜市"
"4169"," 4/16","Re: [問題] 融入古典音樂的嘻哈音樂"
"4170"," 4/16","[問題] Song Cry和Grown Man"
"4171"," 4/16","[推薦] Lupe Fiasco --- PARIS,TOKYO  "
"4172"," 4/16","[心得] 師大古今中外衝動購買行 !!!"
"4173"," 4/17","[轉錄][藝人] 熱狗未婚當爹 小熱狗滿月囉"
"4174"," 4/18","[KUSO] Worst Rap Battle Ever"
"4175"," 4/18","[推薦] Crown City Rockers - B-Boy"
"4176"," 4/18","[推薦] Party People - Nelly ft. Fergie"
"4177"," 4/18","[推薦]the 49ers - champagne"
"4178"," 4/19","[活動] 5/17 SHOP BOYZ - PARTY LIKE A [email protected]"
"4179"," 4/19","[問題] 好的BLog"
"4180"," 4/19","正義悍將"
"4181"," 4/20","[推薦] Bone Thugs-N-Harmony -Certified Thugs (ft. Jazzy Pha) "
"4182"," 4/20","[KUSO] G-UNIT最新專輯"
"4183"," 4/20","[推薦] 蛋堡新歌~~黃金年代"
"4184"," 4/20","Re: [KUSO] G-UNIT最新專輯"
"4185"," 4/20","<RhymeWave 4.18本周新到貨>"
"4186"," 4/21","Re: [推薦] Bone Thugs-N-Harmony -Certified Thug …"
"4187"," 4/21","Re: [推薦] Dave Chappelle’s Block Party"
"4188"," 4/21","[推薦] Shin-ski - Peace of mind ft.melodee"
"4189"," 4/21","[討論] 不知道有沒有人看WWE"
"4190"," 4/22","[自介] 高中生繞舌."
"4191"," 4/22","[活動]<<2008/5/4 中區盃Old Skul Battle>>"
"4192"," 4/22","出售一堆Hip Hop 與 R&B 專輯"
"4193"," 4/23","問歌(2)"
"4194"," 4/23","[問題] 徵有夏天感覺的歌..."
"4195"," 4/23","[問題] 蛋堡的歌哪裡聽"
"4196"," 4/24","[推薦] 就是現在 HBO "
"4197"," 4/24","[情報] 就是今天!! DanceUnion Vol.44 ""So Funky"""
"4198"," 4/24","[推薦] Missy果然很有..."
"4199"," 4/24","Re: [推薦] Missy果然很有..."
"4200"," 4/24","[推薦] Girlicious - Like Me"
"4201"," 4/25","[請益] 如何去了解一首歌的歌詞"
"4202"," 4/25","[轉錄][新聞] 巫師大勝騎士36分 締造新猷"
"4203"," 4/26","Re: [請益] 如何去了解一首歌的歌詞"
"4204"," 4/26","[轉錄][新聞] 醬爆弟弟助陣　巫師大勝騎士"
"4205"," 4/26","Re: [新聞] 醬爆弟弟助陣　巫師大勝騎士"
"4206"," 4/27","Re: [請益] 如何去了解一首歌的歌詞"
"4207"," 4/27","[轉貼]譴責W*zzup公司吳X興經理"
"4208"," 4/27","[推薦] 黃金年代二部曲：純正好貨"
"4209"," 4/28","Re: [轉錄][新聞] 醬爆弟弟助陣　巫師大勝騎士"
"4210"," 4/29","[問題] 可以推薦一些帶點Jazz的饒舌嗎?"
"4211"," 4/29","[討論] Saigon、Big Noyd & Papoose"
"4212"," 4/29","[活動] 5/17 SHOP BOYZ首度來台演出-票價公布 @LUXY"
"4213"," 4/29","[問題] 請問幾個練舞地點"
"4214"," 4/29","[推薦] Dem Franchise Boyz- Mr.Feel Good ft. Mannie Fresh"
"4215"," 4/30","[推薦] 茶米好像好久沒被討論了..."
"4216"," 5/01","[活動] 電影「愛的發聲練習」誠徵hip hop造型臨演"
"4217"," 5/02","押韻的開始"
"4218"," 5/03","佳佳唱片進口商品已到貨"
"4219"," 5/03","[感謝] All Eyez On Mic 順利劃下句點。"
"4220"," 5/03","Imagination Flow / AP Youn'G"
"4221"," 5/04","[推薦] 手斤口-還在心中"
"4222"," 5/04","[推薦] 試聽 : New joint of Jeezy & Kanye"
"4223"," 5/05","[推薦]十年---滿人,蛋堡,jnco  (黃金年代第三部)"
"4224"," 5/05","[討論] Hip-hop 'wrong' for Glastonbury "
"4225"," 5/05","[新聞] SE7EN歌喉殺進美國 黑幫36幫腔"
"4226"," 5/05","[轉錄][閒聊] 來分享個音樂網站"
"4227"," 5/05","[推薦] THE GOLDEN AGE 黃金年代 "
"4228"," 5/05","[KUSO] 50毛在安哥拉..."
"4229"," 5/06","母親節饒舌,歌詞由你寫"
"4230"," 5/06","[推薦] 大支加人人有功練新歌上架一次給你3首!!"
"4231"," 5/07","[徵求] Kanye West-Late Orchestration(CD/DVD)"
"4232"," 5/08","[推薦] will smith"
"4233"," 5/08","[活動] 文大熱舞第九屆成果展《新文化》"
"4234"," 5/09","Re: [自介] 板友名單 "
"4235"," 5/09","[KUSO] Williams Octet - I Just Wanna Love U"
"4236"," 5/09","[推薦] Marcelo D2"
"4237"," 5/09","[分享]Consequence Feat.Kanye West-The Good, The Bad, The Ugly"
"4238"," 5/10","[討論] 母親節前必推!! YOUNG SOULJAZ-魯冰花"
"4239"," 5/10","Re: [分享]　舞蹈電影Step Up"
"4240"," 5/11","[推薦] Aim - The Force ft. Qnc"
"4241"," 5/11","Re: 押韻的開始"
"4242"," 5/12","[問題] 想找有抒情也有hiphop remix的歌"
"4243"," 5/12","[轉錄][免費] LyricWiki 維基歌詞工具"
"4244"," 5/13","[推薦] 踩我的喬丹鞋"
"4245"," 5/13","[推薦] Michelle Williams Ft. Flo Rida - We Break The Dawn "
"4246"," 5/14","[問題]HIP HOP相關電影/DVD推薦"
"4247"," 5/14","[討論]中國榮耀 rap饒舌說唱大賽 battle 1"
"4248"," 5/14","Re: [推薦] THE GOLDEN AGE 黃金年代 "
"4249"," 5/14","Re: [問題]HIP HOP相關電影/DVD推薦"
"4250"," 5/15","Re: [問題]HIP HOP相關電影/DVD推薦"
"4251"," 5/15","Re: [問題]HIP HOP相關電影/DVD推薦"
"4252"," 5/15","Re: [問題]HIP HOP相關電影/DVD推薦"
"4253"," 5/17","<RhymeWave Hiphop New Arrival>"
"4254"," 5/17","Re: [問題]HIP HOP相關電影/DVD推薦"
"4255"," 5/17","Re: [問題]HIP HOP相關電影/DVD推薦"
"4256"," 5/17","[推薦] C-BLOCK"
"4257"," 5/17","[問題] 最近有寫了一些詞"
"4258"," 5/18","[活動] 5/18 (日) 黃金年代第一站 @ 河岸留言"
"4259"," 5/18","[推薦] 参劈新歌 ""祈禱"""
"4260"," 5/18","[問題] MC MAGIC -MAGIC CITY"
"4261"," 5/18","[推薦] Yung Texxus Feat. Hezeleo Trae - Dop …"
"4262"," 5/19","含淚拋售"
"4263"," 5/19","[討論] The Roots 《Rising Down》"
"4264"," 5/19","[討論] DMC台灣區大賽"
"4265"," 5/20","[活動] 528政大熱舞成果嘉年華 @政大四維堂"
"4266"," 5/20","寫在520之前:記台灣地下饒舌的三個世代(上)"
"4267"," 5/20","寫在520之前:記台灣地下饒舌的三個世代(中)"
"4268"," 5/20","寫在520之前:記台灣地下饒舌的三個世代(下)"
"4269"," 5/20","[問題] somebody 幫個忙~~"
"4270"," 5/20","[討論] 希望大家抽空看一下，給我們點建議"
"4271"," 5/20","Hello~我們搬家了"
"4272"," 5/20","Re: [討論] 希望大家抽空看一下，給我們點建議"
"4273"," 5/21","[推薦] 一些歌曲..."
"4274"," 5/21","[推薦] 台灣自製街舞紀錄片""I'm here."""
"4275"," 5/21","[推薦] The Party-功夫Party  MV"
"4276"," 5/21","Re: [討論] 希望大家抽空看一下，給我們點建議"
"4277"," 5/21","[轉錄](FabulousJ) Re: [討論] 希望大家抽空看 …"
"4278"," 5/21","[推薦] 最新情報!!"
"4279"," 5/21","[活動] 中正盃熱舞大賽 暨 中正熱舞12屆成果展"
"4280"," 5/21","Re: [轉錄](FabulousJ) Re: [討論] 希望大家抽空看 …"
"4281"," 5/22","陳冠希洛杉磯現蹤 1次泡2妞"
"4282"," 5/22","[ 售 ] 兩張HIP-HOP專輯"
"4283"," 5/22","[討論] 拷秋勤入圍金曲獎!"
"4284"," 5/23","[網宣]2008府城音樂祭"
"4285"," 5/23","[問題] ""The Cipher""在Hip Hop文化上的定義？"
"4286"," 5/24","[問題] Pharrell被禁播的mv"
"4287"," 5/24","[推薦] Step up 2 the streets 後來發生的大事 …"
"4288"," 5/24","Re: [轉錄](FabulousJ) Re: [討論] 希望大家抽空看 …"
"4289"," 5/24","Re: [轉錄](FabulousJ) Re: [討論] 希望大家抽空看 …"
"4290"," 5/26","[推薦] 大嘴巴 - 愛紗新呈現"
"4291"," 5/26","[活動] 2008.05.29 DanceUnion Vol.45 MM四週꘠…"
"4292"," 5/26","[活動] 淡江熱舞12th成果展 6/1 淡江活動中心"
"4293"," 5/29","[推薦] Jah-I-Witness - Soul Music"
"4294"," 5/29","Re: [活動] 淡江熱舞12th成果展 6/1 淡江活動中心"
"4295"," 5/30","[討論] 兩個美國的節目"
"4296"," 5/31","[討論] 無意間看到的廣告"
"4297"," 5/31","[推薦]DJ Spinna  "
"4298"," 6/01","[問題] 關於DJ軟體"
"4299"," 6/01","[推薦]就是放克"
"4300"," 6/01","<Rhyme Wave..五月底新到貨>"
"4301"," 6/01","Re: [推薦]DJ Spinna  "
"4302"," 6/03","[推薦] HIP-HOP radio"
"4303"," 6/04","Re: [推薦] Step up 2 the streets 後來發生的大事 …"
"4304"," 6/04","[活動] 多力多滋 台客尬嘻哈 你挺誰活動"
"4305"," 6/04","[活動] 2008-07-16 全美鹹濕冠軍王 Flo Rida @LUXY"
"4306"," 6/05","[推薦] new Lupe's banger"
"4307"," 6/05","[討論]台客嗆嘻哈"
"4308"," 6/05","HINOTER 33音樂雜誌上市嚕"
"4309"," 6/06","Re: [推薦] DJ Laz - Move Shake Drop (remix)"
"4310"," 6/07","[推薦] SideWalk- 瑞典hiphop團"
"4311"," 6/07","[推薦] Nas - Hero ft. Keri Hilson"
"4312"," 6/08","[推薦] Three 6 Mafia feat. Unk-I'd Rather..."
"4313"," 6/09","[推薦] 張老師新歌 很舒服的fusion jazz/rap"
"4314"," 6/10","[活動] 自己創作正夯！DTEC要你好聽~暑期營隊精采課程說明會"
"4315"," 6/11","[問題] Riskay-Smell Yo Dick"
"4316"," 6/11","售Chris Brown 兩張專輯"
"4317"," 6/12","The Biggest On-Line Battle in this World pt.2..."
"4318"," 6/12","Re: [討論] 兩個美國的節目"
"4319"," 6/12","Re: The Biggest On-Line Battle in this World pt …"
"4320"," 6/13","[討論] 這次黃金年代的活動"
"4321"," 6/13","Re: The Biggest On-Line Battle in this World pt …"
"4322"," 6/13","[活動] Doobiest 10th Anniversary "
"4323"," 6/13","Re: [討論] 這次黃金年代的活動"
"4324"," 6/14","[推薦] 推薦幾首新歌"
"4325"," 6/14","[活動] 2008夏日發騷沁涼比基尼泳池派對 Bikini POOL PARTY"
"4326"," 6/16","[推薦] Youtube on-line diggin by dj vicar"
"4327"," 6/16","[轉錄][新聞] 阿姆假扮聽眾叩應電台節目"
"4328"," 6/16","[活動] 回答問題~7/16邀請你看FLO RIDA @LUXY눠…"
"4329"," 6/16","[問題] Kanye West - Jesus Walks的歌詞"
"4330"," 6/17","[推薦] Summer Time"
"4331"," 6/17","[比賽]2008 Disney Channel 歌舞青春夏日飆舞季"
"4332"," 6/17","Technics 1200MK5黑，Pioneer DJM600，KRK RP8 …"
"4333"," 6/17","[推薦] THE PHARCYDE - knew you"
"4334"," 6/18","[煩請支持] 歌單版連署"
"4335"," 6/18","Re: [轉錄](FabulousJ) Re: [討論] 希望大家抽空看 …"
"4336"," 6/18","[推薦] Lil Wayne"
"4337"," 6/18","Re: [推薦] Summer Time"
"4338"," 6/19","Re: [問題] 請教一下premier"
"4339"," 6/20","[推薦] Peter Buffett Feat. Akon - Anything"
"4340"," 6/20","我覺得他應該不要再打 NBA 了"
"4341"," 6/20","[推薦] 東岸好時光"
"4342"," 6/20","[問題] 關於T-Pain的I'm sprung這首歌"
"4343"," 6/20","[KUSO]snoop dogg 讓我傻眼了......Snoop Dogg …"
"4344"," 6/21","剛剛聽廣播時...."
"4345"," 6/21","[自介] LOSE YOURSELF"
"4346"," 6/22","[推薦]當Nas碰到MF Doom"
"4347"," 6/23","[推薦] 遺失的美好"
"4348"," 6/23","[活動] 2008.06.26 DanceUnion Vol.46 ""Pop Wh …"
"4349"," 6/24","Re: [推薦] 遺失的美好"
"4350"," 6/24","[推薦] Usher - In this club part II"
"4351"," 6/25","Re: 剛剛聽廣播時...."
"4352"," 6/25","Re: [推薦] Percee P"
"4353"," 6/25","[推薦] THREE 6 MAFIA-Last 2 Walk (NEW Release)"
"4354"," 6/25","[推薦] 又是東岸老好屎..."
"4355"," 6/26","Re: [推薦]當Nas碰到MF Doom"
"4356"," 6/26","Re: [推薦]當Nas碰到MF Doom"
"4357"," 6/26","[hiphop+jazz] Modal Soul Classics by Nujabes"
"4358"," 6/26","[推薦] ayatollah"
"4359"," 6/28"," 關於顏社黃金年代現場演唱活動"
"4360"," 6/28","[推薦] DJ-Khaled 『out here grindin』2008"
"4361"," 6/28","[推薦] Daddy Yankee 『Somos de Calle 』2008"
"4362"," 6/28","<Rhymewave 6月底新到貨>"
"4363"," 6/28","Re: [影片]追夢高手Hardball"
"4364"," 6/29","[推薦] Jay-Z Live at Glastonbury"
"4365"," 6/29","[KUSO] Crank Dat Army Boy"
"4366"," 6/29","Chris Brown-With You/Take U Down (Live)"
"4367"," 6/30","[推薦] DJ Jazzy Jeff & The Fresh Prince "
"4368"," 7/01","賣一大堆二手器材包括vestax05努喔喔"
"4369"," 7/01","[討論] Gorilla Zoe & Gucci Mane"
"4370"," 7/02","The Biggest On-Line Battle in this world pt. 3"
"4371"," 7/02","[活動] 8/9 SUMMER AQUARIAN 2008 @頭城港澳沙灘"
"4372"," 7/02","[推薦] 電影 - Get Rich or Die Tryin' "
"4373"," 7/02","Greg Street feat. Nappy Roots-Good Day"
"4374"," 7/02","Re: [自介] 板友名單 "
"4375"," 7/02","<Statik Selektah- Spell My Name Right>"
"4376"," 7/04","這不是剪接"
"4377"," 7/04","[問題] neyo so sick 有其他人唱過嗎?"
"4378"," 7/05","[問題] 7.4過了...."
"4379"," 7/05","[問題] 學歷"
"4380"," 7/06","[討論] The Game feat. Travis Barker - Dope  …"
"4381"," 7/06","Re: [問題] neyo so sick 有其他人唱過嗎?"
"4382"," 7/06","Re: [問題] 7.4過了...."
"4383"," 7/08","Re: [自介] 板友名單 "
"4384"," 7/08","Re:  關於顏社黃金年代現場演唱活動"
"4385"," 7/08","[推薦] 此八年最佳中文饒舌專輯-押韻的開始"
"4386"," 7/09","[推薦] What Happend To My Love?!"
"4387"," 7/09","[推薦] 好歌好歌!"
"4388"," 7/09","[推薦] Talib Kweli - LISTEN!!"
"4389"," 7/11","[推薦] DJ Babu & Beatnuts - ""Duck Season"""
"4390"," 7/11","[討論] 迷幻的歌"
"4391"," 7/12","[知識] 內有玄機"
"4392"," 7/12","Re: [問題] 7.4過了...."
"4393"," 7/12","[推薦] Common feat Sadat X - ""1-9-9-9"""
"4394"," 7/12","[推薦]Akon and O'donis and Colby - What You Got"
"4395"," 7/12","God-des And She"
"4396"," 7/13","[推薦] Cormega - Beautiful Mind"
"4397"," 7/14","Re: [推薦] Lupe Fiasco - The Cool專輯"
"4398"," 7/15","[推薦] EMC -- LEAK IT OUT"
"4399"," 7/15","[推薦] Da Beatminerz feat. Pete Rock - ""Open"""
"4400"," 7/15","Re: [活動] 8/9 SUMMER AQUARIAN 2008 @頭城港澳沙灘"
"4401"," 7/16","Re: [推薦]Akon and O'donis and Colby - What You …"
"4402"," 7/16","[活動] 2008.07.31 DanceUnion Vol.47 ""STYLE  …"
"4403"," 7/16"," 今天在某電台........"
"4404"," 7/17","[活動] Hit The Rhyme 爵士打真軍精采實錄"
"4405"," 7/18","押韻的開始幕後花絮"
"4406"," 7/18"," 這世界有點小"
"4407"," 7/18","[推薦] Dilated Peoples - Worst comes to Worst"
"4408"," 7/18","<RhymeWave 七月份 New Arrival>"
"4409"," 7/19","[推薦] (MV) LL Cool J ft. The Dream - Baby"
"4410"," 7/19","[轉錄] 拷秋勤世界放風聲 東京巡迴 2008"
"4411"," 7/19","Re: [問題] 7.4過了...."
"4412"," 7/19","[問題] 這些經典的音樂"
"4413"," 7/20","[問題] Asia Power"
"4414"," 7/20","[活動]""創世紀Open mic""+押韻的開始 (參劈)-7/26 @河岸留言"
"4415"," 7/21","[問題] 參劈的第一張mixtape"
"4416"," 7/21","[問題] 像這樣類型的JAZZ HIP HOP"
"4417"," 7/21","[活動] 黃金年代再現, Golden Age Remix Proje …"
"4418"," 7/22","[問題] Grind Mode-She's So Fly (I'm So High)"
"4419"," 7/22","[推薦] Nelly ft. Ciara & JD - Stepped On My J'z "
"4420"," 7/23","[轉錄][笑話] 超屌校長致詞唱RAP"
"4421"," 7/24","[活動] 夏日極酷派對：搭乘大眾運輸免費入場 "
"4422"," 7/24","[知識] 青年學子必讀之書"
"4423"," 7/25","賣幾張CDs"
"4424"," 7/26","JR Fog / Take you to the south mixtape(更新中)"
"4425"," 7/26","他的故事His story , History / 馬訓(人人有功練)"
"4426"," 7/26","[問題] 麻吉  3劈(推文有病毒 請勿點選)"
"4427"," 7/26","[轉錄][藝人] 剛剛新聞說 麻吉 打 3P ??"
"4428"," 7/27","[轉錄][爆卦] 譴責暴力 麻及圍毆打人"
"4429"," 7/27","[討論] 小個及老莫目前狀況"
"4430"," 7/27","[活動]拷秋勤世界放風聲 東京巡迴 2008"
"4431"," 7/27","[知識]used to love her歌詞 "
"4432"," 7/27","[本月] Genesis Open Mic"
"4433"," 7/27","Re: [本月] Genesis Open Mic"
"4434"," 7/27","Re: [本月] Genesis Open Mic"
"4435"," 7/27","[推薦] 參劈-押韻的開始"
"4436"," 7/27","Re: [本月] Genesis Open Mic"
"4437"," 7/27","Re: [討論] 小個及老莫目前狀況"
"4438"," 7/27","Re: [本月] Genesis Open Mic"
"4439"," 7/27","[討論] 這次的事件"
"4440"," 7/28","Re: [討論] 小個及老莫目前狀況"
"4441"," 7/28","[轉錄][新聞]參劈慘遭痛毆三角cool闖禍麻吉Jeff拒道歉(最新的新聞)"
"4442"," 7/28","Re: [討論] 小個及老莫目前狀況"
"4443"," 7/29","[討論] respect"
"4444"," 7/29","Re: [討論] respect"
"4445"," 7/29","Re: [好康]我有牢騷要發"
"4446"," 7/29","Re: [討論] respect"
"4447"," 7/29","Re: [討論] respect"
"4448"," 7/29","[新聞] 六甲唱校園遭麻吉圍譙 "
"4449"," 7/29","[新聞] 三角Cool被控打人 黃立行：stupid"
"4450"," 7/29","[新聞]麻吉團員 揍人道歉何必當初"
"4451"," 7/29","[討論] 讓HIPHOP板回歸正常吧"
"4452"," 7/29","[推薦] 參劈的used to love her MV"
"4453"," 7/29","Re: [討論] respect"
"4454"," 7/29","[討論] 其實"
"4455"," 7/29","[討論] 事情的前面跟後面，大家搞懂了嗎?"
"4456"," 7/30","Re: [討論] respect"
"4457"," 7/30","[討論] 關於這次事件"
"4458"," 7/30","[公告] 再有粗口就水桶"
"4459"," 7/30","[本月] 淺見"
"4460"," 7/30","[KUSO] 突然有個想法.."
"4461"," 7/30","[分享]小提琴與turntable"
"4462"," 7/30","Re: [本月] 淺見"
"4463"," 7/30","Re: [本月] 淺見"
"4464"," 7/30","[討論] 我有點認真了!!"
"4465"," 7/30","[討論] 有像這種類型的音樂嗎?  中場休息"
"4466"," 7/30","那我就給你明燈"
"4467"," 7/30","Re: 那我就給你明燈"
"4468"," 7/30","Re: [討論] 有像這種類型的音樂嗎?  中場休息"
"4469"," 7/30","[推薦] 板主叫我貼的"
"4470"," 7/30","Re: 那我就給你明燈"
"4471"," 7/30","[新聞] DonP和受罪為打人事件道歉 宣布退出麻吉 "
"4472"," 7/30","[KUSO] Nigga plz...."
"4473"," 7/30","Re: 那我就給你明燈"
"4474"," 7/30","真正的嘻哈"
"4475"," 7/30","Re: [KUSO] Nigga plz...."
"4476"," 7/31","Re: 真正的嘻哈"
"4477"," 7/31","Re: 真正的嘻哈"
"4478"," 7/31","Re: 那我就給你明燈"
"4479"," 7/31","Re: 真正的嘻哈"
"4480"," 7/31","[推薦] 你累了嗎...聽首歌好嗎?"
"4481"," 7/31","Re: 真正的嘻哈"
"4482"," 7/31","[推薦] 推薦推薦推薦好聽好聽阿阿阿阿 !!!!! "
"4483"," 8/01","[新聞] 路達克里斯寫歌罵馬侃 反遭歐巴馬陣營譴責"
"4484"," 8/02","[好奇] 吉米540I"
"4485"," 8/02","[推薦] 大樂門"
"4486"," 8/02","[推薦] 幾首新歌"
"4487"," 8/02","[討論] 有點感嘆現在的嘻哈"
"4488"," 8/02","[推薦] 聽歌實在..."
"4489"," 8/03","[推薦] 老歌了.."
"4490"," 8/03","[推薦]好歌"
"4491"," 8/03","Re: [討論] respect"
"4492"," 8/03","[推薦] Hypnotized (Plies feat. Akon)"
"4493"," 8/03","Re: [推薦] Hypnotized (Plies feat. Akon)"
"4494"," 8/03","Re: [討論] respect"
"4495"," 8/03","[討論] 有創作的來推一下吧"
"4496"," 8/04","[推薦] N.E.R.D At SXSW "
"4497"," 8/04","Re: [討論] respect"
"4498"," 8/05","[活動] 08-23 MIMS救世主 - Music Is My Savio …"
"4499"," 8/05","[推薦] G-unit "
"4500"," 8/05","Re: [閒扯] Jin - ABC"
"4501"," 8/06","[推薦] 好歌+好片"
"4502"," 8/06","出售 Kanye West -The College Dropout專輯CD"
"4503"," 8/06","[推薦] Pete Rock & CL Smooth-T.R.O.Y. (They …"
"4504"," 8/06","[討論] 關於東岸嘻哈歌手"
"4505"," 8/07","[知識] 歐美名人展現日牌新風貌 - Lupe Fiasco"
"4506"," 8/07","[推薦] CRS"
"4507"," 8/07","[推薦] Big Tymers "
"4508"," 8/07","[推薦] Dujeous"
"4509"," 8/08","[轉錄][創作] 我寫了一首歌給謎擬邀五八歡迎大家試聽"
"4510"," 8/08","Re: [推薦] CRS"
"4511"," 8/08","[活動] 2008.08.21 DanceUnion Vol.48 DU四週年"
"4512"," 8/08","[推薦] Flo Rida - In The Ayer"
"4513"," 8/08","DUB Show 2008 @ LA "
"4514"," 8/08","Car Show Lives"
"4515"," 8/08","Re: [自介] 板友名單 "
"4516"," 8/08","[推薦] 帥哥"
"4517"," 8/08","[推薦] 老學校真棒"
"4518"," 8/08","[感謝] LUXY七夕情人單身派對~情人節就是要""顏社"""
"4519"," 8/09","The Biggest on-line battle in this world Final..."
"4520"," 8/09","[轉錄][情報] 嗨 大家 只是想跟你們分享個消息 "
"4521"," 8/09","[問題] 90's"
"4522"," 8/09","[問題] 有沒有阿拉伯饒舌歌手??"
"4523"," 8/09","[推薦] Bow Wow Ft. Soulja Boy Tell 'Em - Marco Polo"
